P(Deceptive) = -0.69314718056
P(Truthful) = -0.69314718056
P(Positive) = -0.69314718056
P(Negative) = -0.69314718056

Before smoothing
Words                   Deceptive     Truthful      Positive      Negative      
blew                    2             3             0             5             
disaster                2             1             0             3             
fair                    5             7             4             8             
goodnight               0             1             1             0             
hotwire                 0             15            12            3             
fail                    3             4             0             7             
news                    0             6             1             5             
best                    100           78            131           47            
moron                   0             1             0             1             
manson                  0             1             0             1             
lots                    9             28            25            12            
spolied                 0             1             1             0             
score                   1             0             1             0             
yogurt                  2             1             2             1             
cubby                   0             1             0             1             
skimpy                  1             0             1             0             
rundown                 1             1             0             2             
men                     3             9             5             7             
extend                  0             2             1             1             
rolled                  4             2             0             6             
smelled                 41            12            5             48            
extent                  0             2             0             2             
downgrade               1             2             0             3             
carbon                  0             1             0             1             
pity                    0             1             1             0             
planner                 1             0             0             1             
disdain                 1             1             0             2             
bachelorette            0             1             0             1             
country                 1             4             0             5             
pits                    0             1             0             1             
heating                 4             1             1             4             
demanded                4             0             0             4             
planned                 12            7             2             17            
dents                   0             1             0             1             
argue                   1             4             0             5             
asked                   69            88            31            126           
and                     3147          3216          3006          3357          
fancypants              2             0             0             2             
minuses                 0             1             1             0             
humming                 0             2             0             2             
priceline               0             42            24            18            
windchills              0             1             1             0             
billing                 0             3             0             3             
hues                    1             0             1             0             
union                   0             1             0             1             
fro                     1             0             0             1             
bothers                 0             1             0             1             
much                    111           113           71            153           
stadium                 0             1             1             0             
privilege               1             1             0             2             
incompetent             3             3             0             6             
dots                    0             1             0             1             
obese                   0             2             0             2             
life                    19            10            18            11            
recomend                3             0             3             0             
spit                    1             0             0             1             
worker                  4             2             0             6             
wish                    19            7             13            13            
dave                    0             1             1             0             
lift                    3             5             4             4             
child                   3             7             0             10            
worked                  12            7             9             10            
contemplated            1             0             0             1             
scowled                 3             0             0             3             
flooding                0             2             0             2             
k                       1             0             1             0             
levies                  0             1             0             1             
aggregious              0             1             0             1             
played                  1             0             0             1             
albiet                  0             1             0             1             
player                  2             3             0             5             
upscale                 19            9             20            8             
conditioner             11            8             4             15            
doorman                 3             24            15            12            
trusted                 0             1             0             1             
memorial                0             3             2             1             
things                  43            43            29            57            
split                   1             4             1             4             
babies                  0             2             0             2             
clubing                 0             1             1             0             
hygeine                 0             1             0             1             
european                1             8             6             3             
fairly                  9             8             3             14            
inadvertently           0             1             0             1             
tops                    3             1             2             2             
ownership               1             0             1             0             
supper                  5             1             2             4             
tope                    1             0             0             1             
haggard                 1             0             0             1             
registering             0             1             1             0             
burgers                 2             0             1             1             
nachos                  1             0             1             0             
corporate               7             12            10            9             
opinions                0             1             0             1             
sleepy                  1             0             1             0             
whatnot                 1             0             0             1             
financially             0             1             0             1             
snickered               1             0             0             1             
portrayed               2             0             0             2             
previous                7             18            10            15            
hah                     1             0             0             1             
authorizations          0             1             0             1             
ease                    8             2             9             1             
had                     734           652           453           933           
emphasis                1             0             1             0             
reservationist          1             0             0             1             
easy                    25            35            49            11            
prison                  0             3             0             3             
has                     102           132           126           108           
casually                1             0             1             0             
disagreement            1             1             0             2             
possible                9             11            9             11            
awhile                  3             1             2             2             
possibly                4             2             4             2             
unique                  7             5             6             6             
bushy                   1             0             0             1             
desire                  1             0             1             0             
masonic                 0             1             1             0             
bobby                   1             0             1             0             
remind                  1             3             1             3             
steps                   2             5             7             0             
right                   80            85            87            78            
old                     33            84            28            89            
ole                     1             0             0             1             
crowd                   3             4             3             4             
people                  65            93            51            107           
crown                   0             2             1             1             
insistence              1             1             0             2             
enemies                 1             0             0             1             
attendees               1             0             0             1             
ruffled                 1             0             0             1             
for                     1089          1239          906           1422          
bottom                  4             11            2             13            
fox                     0             1             1             0             
when                    440           341           188           593           
continue                2             3             1             4             
treadmill               3             2             3             2             
umm                     0             1             0             1             
trite                   1             0             0             1             
palatable               0             1             0             1             
mildewed                1             0             0             1             
fish                    2             6             1             7             
brailed                 1             0             1             0             
losing                  0             1             0             1             
memorable               4             3             6             1             
transcends              1             0             1             0             
thechina                0             1             1             0             
dollars                 9             15            6             18            
recomment               0             1             1             0             
o                       5             10            10            5             
stoked                  2             0             2             0             
lacked                  3             3             1             5             
veiws                   1             0             1             0             
slightly                2             8             2             8             
raised                  4             2             3             3             
rationale               0             1             0             1             
facility                5             7             4             8             
marshall                0             1             1             0             
honeymoon               8             5             10            3             
soo                     0             2             0             2             
son                     11            15            9             17            
thankful                0             1             0             1             
wrap                    0             2             0             2             
sox                     0             1             1             0             
hallo                   0             1             1             0             
frazzled                1             0             0             1             
fabric                  1             0             0             1             
waits                   1             3             1             3             
support                 3             2             2             3             
constantly              8             3             0             11            
uncluttered             0             1             1             0             
resulted                0             1             0             1             
halls                   3             1             2             2             
launching               1             0             1             0             
happy                   24            24            32            16            
perfumes                1             0             1             0             
offer                   53            22            33            42            
gripes                  0             1             0             1             
renvation               0             1             0             1             
understandable          0             1             0             1             
canopies                0             1             1             0             
inside                  22            16            13            25            
devices                 0             1             0             1             
unwelcoming             0             1             0             1             
pest                    0             2             0             2             
rerun                   0             1             0             1             
smashed                 0             1             0             1             
passenger               1             0             0             1             
proud                   1             0             1             0             
liberal                 0             1             0             1             
minibar                 2             17            4             15            
bathrobe                4             1             1             4             
proven                  1             0             0             1             
restorative             0             1             1             0             
soothe                  1             0             1             0             
proves                  0             1             1             0             
accounting              0             2             0             2             
crutches                0             1             1             0             
protested               0             1             0             1             
floor                   49            162           84            127           
accomodating            2             4             4             2             
ourselves               3             5             3             5             
flood                   0             2             0             2             
republic                0             1             0             1             
crowne                  0             1             0             1             
becuase                 1             0             1             0             
smell                   44            10            4             50            
roll                    0             12            2             10            
intend                  2             1             0             3             
palms                   1             2             1             2             
ramada                  1             0             1             0             
rollins                 0             1             1             0             
transported             0             1             0             1             
smelling                4             0             0             4             
snooze                  0             1             1             0             
cleaver                 0             1             0             1             
hypoallergenic          2             0             1             1             
aerobic                 1             1             1             1             
time                    251           169           186           234           
push                    0             1             0             1             
gown                    0             1             0             1             
newbie                  1             0             1             0             
chain                   11            14            8             17            
reviewers               0             4             2             2             
activated               1             0             0             1             
terible                 1             0             0             1             
burritos                0             1             1             0             
balmy                   0             1             0             1             
jarring                 0             1             0             1             
skiing                  0             1             1             0             
chair                   5             19            4             20            
hole                    3             2             0             5             
ballet                  1             0             1             0             
rousing                 1             0             1             0             
bicycles                1             0             1             0             
adventist               0             1             0             1             
icing                   2             1             2             1             
prepaid                 1             2             0             3             
cheap                   19            16            8             27            
choice                  26            21            26            21            
gloomy                  1             0             0             1             
bustle                  4             0             3             1             
stays                   6             10            8             8             
exact                   2             3             0             5             
minute                  16            29            26            19            
discovered              11            7             1             17            
tear                    0             1             0             1             
leave                   34            21            26            29            
settle                  6             1             1             6             
subway                  0             11            8             3             
team                    1             2             1             2             
loads                   0             1             1             0             
unaware                 1             1             0             2             
attic                   1             1             0             2             
sigh                    0             1             0             1             
steaks                  1             2             1             2             
shirts                  1             0             1             0             
movies                  3             2             2             3             
cleanliness             11            4             6             9             
celebrated              0             2             2             0             
reminiscent             1             0             0             1             
falling                 4             3             2             5             
ground                  1             5             1             5             
grandparents            0             1             0             1             
funeral                 1             1             0             2             
understanding           1             0             1             0             
snack                   3             5             6             2             
